"force-rfile"
"Iteration" "force"
("Iteration" "force")
1 0.09854346560351265
2 0.1249757868911042
3 0.1280730539404857
4 0.1236739552115791
5 0.117668353581359
6 0.1115140877985945
7 0.1065742689089281
8 0.1025079594307581
9 0.0997077440493437
10 0.09769576905868424
11 0.09647669805665272
12 0.0956943546383191
13 0.09531916157088752
14 0.09505026630153526
15 0.0949277339059213
16 0.09482183580943318
17 0.09478340917691155
18 0.09474103634830655
19 0.09473316425280762
20 0.0947159564467332
21 0.09471545050467524
22 0.09470578230283364
23 0.09470520336130739
24 0.09469845690553075
25 0.09469787051803449
26 0.0946934688208896
27 0.09469320154351475
28 0.09469068868251647
29 0.09469101465474407
30 0.09468989945055363
31 0.0946906102515388
32 0.09469027646126971
33 0.09469102220967382
34 0.09469098472067636
35 0.09469159275080129
36 0.09469161877121153
37 0.09469202556386112
38 0.09469203618008297
39 0.09469228791400411
40 0.09469227811068995
41 0.09469242598793785
42 0.09469240605846913
43 0.09469249180546979
44 0.09469247206721038
45 0.09469252251076231
46 0.0946925060692487
47 0.09469253664519481
