"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
1 0.0191624021845025
2 0.1233719215586461
3 0.2527404405503909
4 0.351161317594009
5 0.4208810065129371
6 0.4671800024334555
7 0.4970363989392187
8 0.5153150662358484
9 0.526322611611833
10 0.5328406665127258
11 0.5365717022155917
12 0.5389266584018585
13 0.5407612210842704
14 0.5419899777591498
15 0.5428375080520681
16 0.5433305530622344
17 0.5436737573563267
18 0.5438700374900621
19 0.5440204291066054
20 0.5440993340484982
21 0.5441596612084719
22 0.5441785476312488
23 0.5441870749201592
24 0.5441730335335152
25 0.5441580723876934
26 0.5441335102985033
27 0.5441124858863117
28 0.5440892548048347
29 0.5440721104430154
30 0.5440562386002346
31 0.5440461681312547
32 0.544037762027749
33 0.5440332743864265
34 0.5440296433266317
35 0.5440281995491241
36 0.5440269225213209
37 0.5440267263622194
38 0.5440263541332923
39 0.5440264763863594
40 0.5440263363857534
41 0.5440264238831762
42 0.5440262881308682
43 0.5440262813552772
44 0.5440261263791587
45 0.5440260627920817
46 0.5440259177539113
47 0.5440258495682693
