"moment-rfile"
"Iteration" "moment"
("Iteration" "moment")
1 0.01894435903444356
2 0.07477172527631712
3 0.1381911092283294
4 0.1840280828967682
5 0.2148795941528983
6 0.2345412758414553
7 0.2465151612418084
8 0.2535200450161744
9 0.2574192009450205
10 0.2596469424227156
11 0.2607741016680116
12 0.2615258678685051
13 0.2621373790488155
14 0.2625766330981744
15 0.2628591331821772
16 0.2630287564510901
17 0.263132359254688
18 0.2631955168835037
19 0.2632355092034887
20 0.2632577506120879
21 0.2632687380136747
22 0.2632696991448227
23 0.2632637181639043
24 0.2632532016963994
25 0.2632408940408256
26 0.2632279113234529
27 0.2632156100030531
28 0.2632047333507021
29 0.2631958744163112
30 0.2631890374399175
31 0.2631842037056821
32 0.2631809361837479
33 0.2631789174460191
34 0.2631777327743705
35 0.2631771380243192
36 0.2631768721754999
37 0.2631768166281871
38 0.2631768390466013
39 0.2631769002168537
40 0.2631769457180666
41 0.2631769757509084
42 0.2631769745693859
43 0.2631769574636351
44 0.2631769212716034
45 0.263176879493464
46 0.2631768341359421
47 0.2631767939365445
