"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
1 0.02118391757185385
2 0.046335006245159
3 0.06060964236158612
4 0.06844390667934963
5 0.06922532707184777
6 0.06634087912324171
7 0.06006676040553446
8 0.05227294082722948
9 0.04389812042769758
10 0.03655145165791562
11 0.03087984610418578
12 0.02732816403578203
13 0.02569715584992927
14 0.02567654724011648
15 0.02670886731998472
16 0.02828330574941027
17 0.02995832316769643
18 0.03146143396297525
19 0.03263851808573195
20 0.03345339110062145
21 0.03392829047188688
22 0.03412775202561785
23 0.0341268832551504
24 0.03400057283208129
25 0.03381898552344854
26 0.03361680427640024
27 0.03342506139775392
28 0.03326769158623971
29 0.03315161110383598
30 0.03307784559034606
31 0.03304040184257186
32 0.03303112178580231
33 0.033041688102435
34 0.03306062271647203
35 0.03308278644023062
36 0.03310432864890931
37 0.03312230464659589
38 0.03313603828689369
39 0.03314555424925781
40 0.03315152069166877
41 0.03315475364197566
42 0.0331559948231681
43 0.0331561029237208
44 0.03315554401092739
45 0.03315465224840051
46 0.03315355977466156
47 0.03315275860989034
48 0.03315222636570108
49 0.03315197948545423
50 0.03315196005448053
51 0.03315217478609003
52 0.03315242880731554
53 0.03315278407164284
54 0.03315307478720111
55 0.03315337020129527
