"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 0.03044292849193768
2 0.03748917968669335
3 0.03664591612426636
4 0.03412533801341364
5 0.03191245444522236
6 0.02992041828790545
7 0.02859048562013255
8 0.02753793410927426
9 0.02693865493397363
10 0.02648065398123187
11 0.02623337061117737
12 0.02603131557265422
13 0.02593254170532648
14 0.02584245764851998
15 0.02581109139594629
16 0.02577005800188627
17 0.02575812865895506
18 0.02573774298790887
19 0.02573233258130351
20 0.02572008815615728
21 0.02571647085295064
22 0.0257089000033981
23 0.02570669915147422
24 0.02570232771680486
25 0.02570289976527422
26 0.02569966821193533
27 0.02569890708346508
28 0.02569637559956827
29 0.02569547220143119
30 0.02569361685226146
31 0.02569283020788468
32 0.02569152648769554
33 0.02569091845153713
34 0.02569004571823033
35 0.02568966316876494
36 0.0256892042191544
37 0.02568912127730338
38 0.02568888820976646
39 0.02568876040448323
40 0.02568858945211282
41 0.02568854537049369
42 0.0256886184297188
43 0.02568867902437874
44 0.02568876573559784
45 0.02568886243151499
46 0.02568893022786865
47 0.02568900195050817
48 0.02568905144643794
49 0.02568914535336634
50 0.02568923953997117
51 0.02568930708985664
52 0.02568934142822353
53 0.02568936542415128
54 0.02568938409571473
55 0.02568940484627817
56 0.02568942318488597
57 0.02568944034055838
58 0.02568945315329104
59 0.02568946301236893
60 0.02568946884824
61 0.02568947209109983
62 0.02568947234980825
63 0.02568947071100565
64 0.02568946709515083
65 0.02568946227097161
66 0.02568945629797001
67 0.02568944980556302
68 0.02568944292955753
69 0.02568943608293366
70 0.02568942937041759
71 0.02568942304750412
