"pitch-rfile"
"Iteration" "pitch"
("Iteration" "pitch")
1 222.6221780032956
2 213.1734390071087
3 229.3034864206834
4 249.1647415468861
5 261.831042579239
6 262.5117554504085
7 258.2457752436858
8 249.7251759756403
9 245.7640360908229
10 244.8394814884065
11 246.5033207278527
12 248.1876290846521
13 248.6805948931402
14 247.2528748205915
15 245.4053821954448
16 244.898931390874
17 249.5677982631954
18 261.0569016304946
19 279.7718264798928
20 304.8358008159402
21 334.9944784631987
22 367.7858067993259
23 402.6228097384494
24 437.5098463264017
25 470.4910213551024
26 499.7995398429265
27 523.9005756524357
28 541.3902703335808
29 553.0325391131678
30 558.229347611515
31 558.4541251747874
32 554.5524435736701
33 548.769142462328
34 541.9801909302619
35 534.3771534326008
36 527.2336536070831
37 520.4971887289183
38 513.8796544162893
39 507.6735998907359
40 502.4252819310533
41 498.1262079647519
42 494.503517704294
43 491.1778673701659
44 488.0570258582327
45 484.8863272987085
46 481.3630194027365
47 477.3722823628733
48 472.9340853477527
49 467.7740119511772
50 461.6803996976183
51 454.6804373346505
52 446.9059901669069
53 438.7596111956483
54 430.474924213821
55 422.358485344198
56 414.68925781253
57 407.7789575724875
58 401.7683742594998
59 396.7825890251147
60 392.832376769874
61 390.0287909297732
62 388.3440684876207
63 387.323020059278
64 386.6209580743854
65 385.3811165117136
66 383.2670546370304
67 380.4056306944569
68 376.3141461563546
69 371.1024068794234
70 364.8793203255079
71 357.7057530880208
72 349.7755216803432
73 341.2472723226426
74 332.4943586182847
75 323.9428063410189
76 315.9020713167723
77 308.5257612764657
78 301.8058614609935
79 296.1354963434164
80 291.3758983305061
81 287.4671822640533
82 284.2504612568163
83 281.3521472395582
84 278.7296544764673
85 276.1185778912251
86 273.148127172176
87 269.5777524015517
88 265.2889575191879
89 260.2104837048039
90 254.3277087654677
91 247.7304155671874
92 240.6061126141813
93 233.0844325839192
94 225.3820870552244
95 217.7097018626614
96 210.1855208391975
97 203.0539906435652
98 196.5611419311346
99 190.7882021974837
100 185.7321287331112
